#Version: 0.1
#Glossary type: Fossil
#Source: treatise_gloss (merged from: treatise_o, treati)
#Finalized by: Dr. Hong Cui
#Date: 9/12/2013
#Reviewers: treatise  ,Dr. Hong Cui,Mohan Krishna Gowda,Fengqiong Huang,Sonali Ranade
#Source producer: OTO System

term,category,hasSyn,sourceDataset,termID
sized,size,0,treatise_gloss,38f911ea-1bb8-11e3-a402-0026b9326338
small,size,0,treatise_gloss,38f9146a-1bb8-11e3-a402-0026b9326338
long,length,0,treatise_gloss,38f9155a-1bb8-11e3-a402-0026b9326338
bent,shape,0,treatise_gloss,38f91636-1bb8-11e3-a402-0026b9326338
curved,shape,0,treatise_gloss,38f91712-1bb8-11e3-a402-0026b9326338
concave,shape,0,treatise_gloss,38f917ee-1bb8-11e3-a402-0026b9326338
sigmoidal,shape,0,treatise_gloss,38f918c0-1bb8-11e3-a402-0026b9326338
shaped,shape,0,treatise_gloss,38f91988-1bb8-11e3-a402-0026b9326338
bending,shape,0,treatise_gloss,38f91a5a-1bb8-11e3-a402-0026b9326338
medium,size,0,treatise_gloss,38f91b22-1bb8-11e3-a402-0026b9326338
marginal,position,0,treatise_gloss,38f91bea-1bb8-11e3-a402-0026b9326338
semicircular,shape,0,treatise_gloss,38f91cb2-1bb8-11e3-a402-0026b9326338
short,length,0,treatise_gloss,38f91d84-1bb8-11e3-a402-0026b9326338
one,count,0,treatise_gloss,38f91ec4-1bb8-11e3-a402-0026b9326338
anterior,position,0,treatise_gloss,38f91f8c-1bb8-11e3-a402-0026b9326338
anterolateral,position,0,treatise_gloss,38f9205e-1bb8-11e3-a402-0026b9326338
subtriangular,shape,0,treatise_gloss,38f92126-1bb8-11e3-a402-0026b9326338
subcircular,shape,0,treatise_gloss,38f921f8-1bb8-11e3-a402-0026b9326338
tapering,shape,0,treatise_gloss,38f922ca-1bb8-11e3-a402-0026b9326338
expanding,size,0,treatise_gloss,38f92392-1bb8-11e3-a402-0026b9326338
conical,shape,0,treatise_gloss,38f9245a-1bb8-11e3-a402-0026b9326338
bispinose,shape,0,treatise_gloss,38f92522-1bb8-11e3-a402-0026b9326338
dorsal,position,0,treatise_gloss,38f925ea-1bb8-11e3-a402-0026b9326338
posterior,position,0,treatise_gloss,38f926b2-1bb8-11e3-a402-0026b9326338
rear,position,0,treatise_gloss,38f9277a-1bb8-11e3-a402-0026b9326338
occipital,position,0,treatise_gloss,38f9284c-1bb8-11e3-a402-0026b9326338
angulate,shape,0,treatise_gloss,38f92914-1bb8-11e3-a402-0026b9326338
basic,prominence,0,treatise_gloss,38f929dc-1bb8-11e3-a402-0026b9326338
large,size,0,treatise_gloss,38f92aa4-1bb8-11e3-a402-0026b9326338
distal,position,0,treatise_gloss,38f92b76-1bb8-11e3-a402-0026b9326338
shortened,size,0,treatise_gloss,38f92c3e-1bb8-11e3-a402-0026b9326338
subquadrate,shape,0,treatise_gloss,38f92d06-1bb8-11e3-a402-0026b9326338
arcuate,shape,0,treatise_gloss,38f92dce-1bb8-11e3-a402-0026b9326338
cylindrical,shape,0,treatise_gloss,38f92e96-1bb8-11e3-a402-0026b9326338
transverse,orientation,0,treatise_gloss,38f92fd6-1bb8-11e3-a402-0026b9326338
basal,position,0,treatise_gloss,38f930a8-1bb8-11e3-a402-0026b9326338
third,count,0,treatise_gloss,38f93170-1bb8-11e3-a402-0026b9326338
fourth,position,0,treatise_gloss,38f93238-1bb8-11e3-a402-0026b9326338
ovate,shape,0,treatise_gloss,38f9330a-1bb8-11e3-a402-0026b9326338
