#Version: 0.1
#Glossary type: Hymenoptera
#Source: ant_gloss_20130517080844
#Finalized by: Hong Cui
#Date: 9/20/2013
#Reviewers: Hong Cui,Sonali Ranade
#Source producer: OTO System

term,category,synonym,termID
abundance,density,abundant,149af0ee-21de-11e3-a402-0026b9326338
acute_angular,shape,acute_angulate,149af1d4-21de-11e3-a402-0026b9326338
advance,development,advancing,149af2a6-21de-11e3-a402-0026b9326338
advance,development,advanced,149af2a6-21de-11e3-a402-0026b9326338
aedeagalvolsellar,structure,aedeago_volsellar,149af38c-21de-11e3-a402-0026b9326338
align,arrangement,aligned,149af45e-21de-11e3-a402-0026b9326338
alitrunk,structure,alitrunkal,149af530-21de-11e3-a402-0026b9326338
analfin,structure,anal_fin,149af5f8-21de-11e3-a402-0026b9326338
angle,structure,angles,149affa8-21de-11e3-a402-0026b9326338
angle_like,shape,angled,149b0098-21de-11e3-a402-0026b9326338
angle_like,shape,angling,149b0098-21de-11e3-a402-0026b9326338
angle_like,shape,angular,149b0098-21de-11e3-a402-0026b9326338
angle_like,shape,angulate,149b0098-21de-11e3-a402-0026b9326338
angle_like,shape,angulated,149b0098-21de-11e3-a402-0026b9326338
antenna,structure,antennae,149b016a-21de-11e3-a402-0026b9326338
antenna,structure,antennas,149b016a-21de-11e3-a402-0026b9326338
anterio_basal,position,antero_basal,149b023c-21de-11e3-a402-0026b9326338
anterior_ventral,position,anteroventral,149b030e-21de-11e3-a402-0026b9326338
anterior_ventral,position,anterioventrad,149b030e-21de-11e3-a402-0026b9326338
anterodorsal,position,anterior_dorsal,149b03d6-21de-11e3-a402-0026b9326338
anteroinferior,position,antero_inferior,149b049e-21de-11e3-a402-0026b9326338
apex,structure,apexes,149b055c-21de-11e3-a402-0026b9326338
apex,structure,apices,149b055c-21de-11e3-a402-0026b9326338
appendage,structure,appendages,149b06ec-21de-11e3-a402-0026b9326338
arc,shape,arched,149b07aa-21de-11e3-a402-0026b9326338
arc,shape,arching,149b07aa-21de-11e3-a402-0026b9326338
arc,shape,arcing,149b07aa-21de-11e3-a402-0026b9326338
arcuate,shape,arcuated,149b0868-21de-11e3-a402-0026b9326338
area,structure,areas,149b0930-21de-11e3-a402-0026b9326338
articulate,architecture,articulatory,149b0ab6-21de-11e3-a402-0026b9326338
attenuate,shape,attenuated,149b0b74-21de-11e3-a402-0026b9326338
backward,direction,backwards,149b0c3c-21de-11e3-a402-0026b9326338
band,structure,bands,149b0cfa-21de-11e3-a402-0026b9326338
base,structure,bases,149b0db8-21de-11e3-a402-0026b9326338
bend,shape,bending,149b0e80-21de-11e3-a402-0026b9326338
bend,shape,bent,149b0e80-21de-11e3-a402-0026b9326338
bend,shape,bends,149b0e80-21de-11e3-a402-0026b9326338
bicolored,coloration,bicoloured,149b0f3e-21de-11e3-a402-0026b9326338
bicolored,coloration,bicolorous,149b0f3e-21de-11e3-a402-0026b9326338
bifurcates,architecture,bifurcating,149b1006-21de-11e3-a402-0026b9326338
big,size,bigest,149b10c4-21de-11e3-a402-0026b9326338
big,size,bigger,149b10c4-21de-11e3-a402-0026b9326338
bilobate,shape,bilobous,149b1182-21de-11e3-a402-0026b9326338
bilobate,shape,bilobose,149b1182-21de-11e3-a402-0026b9326338
bilobate,shape,bilobed,149b1182-21de-11e3-a402-0026b9326338
bisected,shape,bisects,149b124a-21de-11e3-a402-0026b9326338
black,coloration,coal_black,149b1308-21de-11e3-a402-0026b9326338
black,coloration,blackish,149b1308-21de-11e3-a402-0026b9326338
black,coloration,blacker,149b1308-21de-11e3-a402-0026b9326338
black,coloration,blackened,149b1308-21de-11e3-a402-0026b9326338
bladelike,shape,blade_like,149b13d0-21de-11e3-a402-0026b9326338
bladelike,shape,bladeshaped,149b13d0-21de-11e3-a402-0026b9326338
blotch,structure,blotches,149b1786-21de-11e3-a402-0026b9326338
blue,coloration,bluish,149b1862-21de-11e3-a402-0026b9326338
bluish_green,coloration,bluish_greenish,149b193e-21de-11e3-a402-0026b9326338
blunt,shape,blunted,149b1a10-21de-11e3-a402-0026b9326338
blunt,shape,blunter,149b1a10-21de-11e3-a402-0026b9326338
border,structure,borders,149b1ae2-21de-11e3-a402-0026b9326338
box_shaped,shape,boxlike,149b1c68-21de-11e3-a402-0026b9326338
branched,architecture,branching,149b1ede-21de-11e3-a402-0026b9326338
bright,reflectance,brighter,149b1fa6-21de-11e3-a402-0026b9326338
bright,reflectance,brightest,149b1fa6-21de-11e3-a402-0026b9326338
broadened,size,broader,149b206e-21de-11e3-a402-0026b9326338
broadened,size,broadest,149b206e-21de-11e3-a402-0026b9326338
broadened,size,broadening,149b206e-21de-11e3-a402-0026b9326338
brown,coloration,brownish,149b2136-21de-11e3-a402-0026b9326338
brown,coloration,browns,149b2136-21de-11e3-a402-0026b9326338
brown,coloration,colorbrown,149b2136-21de-11e3-a402-0026b9326338
brown_black,coloration,brownish_black,149b21fe-21de-11e3-a402-0026b9326338
brown_yellow,coloration,brownyellowish,149b22d0-21de-11e3-a402-0026b9326338
brown_yellow,coloration,brownish_yellow,149b22d0-21de-11e3-a402-0026b9326338
bulge,shape,bulging,149b238e-21de-11e3-a402-0026b9326338
c_shape,shape,c_shaped,149b2456-21de-11e3-a402-0026b9326338
carinate,surface_sculpture,carinulate,149b2514-21de-11e3-a402-0026b9326338
carinate,surface_sculpture,carinated,149b2514-21de-11e3-a402-0026b9326338
carinule,structure,carinulae,149b25dc-21de-11e3-a402-0026b9326338
cell,structure,cells,149b26a4-21de-11e3-a402-0026b9326338
center,position,centered,149b2762-21de-11e3-a402-0026b9326338
center,position,central,149b2762-21de-11e3-a402-0026b9326338
cheek,structure,cheeks,149b282a-21de-11e3-a402-0026b9326338
chestnut,coloration,chestnut_brown,149b28f2-21de-11e3-a402-0026b9326338
chestnut,coloration,chestnutred,149b28f2-21de-11e3-a402-0026b9326338
ciliary,architecture,ciliated,149b29b0-21de-11e3-a402-0026b9326338
clavate,shape,claviform,149b2a82-21de-11e3-a402-0026b9326338
cloud,coloration,clouded,149b2b40-21de-11e3-a402-0026b9326338
cluster,arrangement,clusters,149b2c08-21de-11e3-a402-0026b9326338
coarse,surface_sculpture,coarser,149b2cd0-21de-11e3-a402-0026b9326338
coarse,surface_sculpture,coarsest,149b2cd0-21de-11e3-a402-0026b9326338
color,coloration,colouring,149b2d8e-21de-11e3-a402-0026b9326338
color,coloration,coloured,149b2d8e-21de-11e3-a402-0026b9326338
color,coloration,colored,149b2d8e-21de-11e3-a402-0026b9326338
colorless,coloration,colourless,149b2e56-21de-11e3-a402-0026b9326338
common,normality,commonest,149b2f14-21de-11e3-a402-0026b9326338
conic,shape,conical,149b2fdc-21de-11e3-a402-0026b9326338
connected,fusion,connecting,149b309a-21de-11e3-a402-0026b9326338
continguous,arrangement,contiguous,149b3162-21de-11e3-a402-0026b9326338
contrast,coloration,contrasting,149b322a-21de-11e3-a402-0026b9326338
copper,coloration,coppery,149b32e8-21de-11e3-a402-0026b9326338
corner,structure,corners,149b33b0-21de-11e3-a402-0026b9326338
coxa,structure,coxae,149b346e-21de-11e3-a402-0026b9326338
cream_colored,coloration,creamish,149b3536-21de-11e3-a402-0026b9326338
cream_colored,coloration,creamcoloured,149b3536-21de-11e3-a402-0026b9326338
cream_colored,coloration,creamy,149b3536-21de-11e3-a402-0026b9326338
crenulate,surface_sculpture,crenulated,149b35fe-21de-11e3-a402-0026b9326338
crescent_shaped,shape,crescentic,149b36c6-21de-11e3-a402-0026b9326338
crest,structure,crests,149b3784-21de-11e3-a402-0026b9326338
cubic,shape,cuboidal,149b3842-21de-11e3-a402-0026b9326338
cubic,shape,cubital,149b3842-21de-11e3-a402-0026b9326338
cubic,shape,cubical,149b3842-21de-11e3-a402-0026b9326338
curve,shape,curved,149b390a-21de-11e3-a402-0026b9326338
curve,shape,curving,149b390a-21de-11e3-a402-0026b9326338
cuticle,structure,cuticular,149b39d2-21de-11e3-a402-0026b9326338
cylindric,shape,cylindrical,149b3a90-21de-11e3-a402-0026b9326338
dark,coloration,darkest,149b3b58-21de-11e3-a402-0026b9326338
dark,coloration,darker_coloured,149b3b58-21de-11e3-a402-0026b9326338
dark,coloration,darker,149b3b58-21de-11e3-a402-0026b9326338
dark,coloration,darkening,149b3b58-21de-11e3-a402-0026b9326338
dark,coloration,darkened,149b3b58-21de-11e3-a402-0026b9326338
dark,coloration,dark_colored,149b3b58-21de-11e3-a402-0026b9326338
deep,depth,deeper,149b3c20-21de-11e3-a402-0026b9326338
deep,depth,deepening,149b3c20-21de-11e3-a402-0026b9326338
demarcated,presence,demarcating,149b3cde-21de-11e3-a402-0026b9326338
dense,density,densest,149b3e6e-21de-11e3-a402-0026b9326338
dense,density,denser,149b3e6e-21de-11e3-a402-0026b9326338
density,character,densities,149b3f2c-21de-11e3-a402-0026b9326338
dentary,structure,dentaries,149b3ff4-21de-11e3-a402-0026b9326338
denticle,structure,denticles,149b40bc-21de-11e3-a402-0026b9326338
develop,development,developed,149b4242-21de-11e3-a402-0026b9326338
develop,development,developing,149b4242-21de-11e3-a402-0026b9326338
diamond_shaped,shape,diamondshaped,149b430a-21de-11e3-a402-0026b9326338
differentiate,differentiation,differentiating,149b4558-21de-11e3-a402-0026b9326338
differentiate,differentiation,differentiated,149b4558-21de-11e3-a402-0026b9326338
dilated,size,dilation,149b4616-21de-11e3-a402-0026b9326338
dirt,coloration,dirty,149b46de-21de-11e3-a402-0026b9326338
discal,shape,discoidal,149b47a6-21de-11e3-a402-0026b9326338
discontinued,arrangement,discontinuous,149b4864-21de-11e3-a402-0026b9326338
disorganised,arrangement,disorganized,149b492c-21de-11e3-a402-0026b9326338
distal,position,distalmost,149b49f4-21de-11e3-a402-0026b9326338
distinct,prominence,distinctive,149b4ab2-21de-11e3-a402-0026b9326338
dome_like,shape,domelike,149b4c38-21de-11e3-a402-0026b9326338
dome_like,shape,domed,149b4c38-21de-11e3-a402-0026b9326338
dome_like,shape,dome_shaped,149b4c38-21de-11e3-a402-0026b9326338
dorsal_caudal,position,dorsocaudal,149b4e90-21de-11e3-a402-0026b9326338
dorso_lateral,position,dorsolateral,149b4f4e-21de-11e3-a402-0026b9326338
dot,structure,dots,149b5016-21de-11e3-a402-0026b9326338
ellipsoid,shape,elliptic,149b50d4-21de-11e3-a402-0026b9326338
ellipsoid,shape,elliptical,149b50d4-21de-11e3-a402-0026b9326338
elongate,shape,elongated,149b51a6-21de-11e3-a402-0026b9326338
encircle,direction,encircling,149b5264-21de-11e3-a402-0026b9326338
enclose,presence,enclosed,149b5322-21de-11e3-a402-0026b9326338
enclose,presence,enclosing,149b5322-21de-11e3-a402-0026b9326338
excavate,architecture,excavated,149b54b2-21de-11e3-a402-0026b9326338
excised,architecture,excision,149b557a-21de-11e3-a402-0026b9326338
expanded,size,expanding,149b5642-21de-11e3-a402-0026b9326338
expanded,size,expands,149b5642-21de-11e3-a402-0026b9326338
