#Version: 0.11
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 6/13/2014
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID","remarks"
"abaxial","position","0","fna_gloss_final_20130517","465171d3-7d36-41b9-b93d-bdf8ca3e7a2c","active"
"abortive","maturation","0","fna_gloss_final_20130517","0757c044-a9fa-467a-9df5-16eb8a927d58","active"
"abrupt","shape","0","fna_gloss_final_20130517","658690d5-4c09-4c7b-9c0a-ec3864b70b8d","active"
"abscising","life_cycle","0","fna_gloss_final_20130517","a1f538e8-efdc-11e2-b45f-0026b9326338","active"
"abscission","life_cycle","0","fna_gloss_final_20130517","a1f55cf6-efdc-11e2-b45f-0026b9326338","active"
"absent","quantity","0","fna_gloss_final_20130517","ba0da2b4-1f21-4640-9651-27e7e5b01629","active"
"abundant","quantity","0","fna_gloss_final_20130517","a1f591ee-efdc-11e2-b45f-0026b9326338","active"
"acaulescent","architecture","0","fna_gloss_final_20130517","baeb072e-59b7-47cd-b510-ff6b3a782aa6","active"
"acaulous","architecture","0","fna_gloss_final_20130517","115be011-5f4d-4577-af1e-2c08b73ef1b5","active"
"accessory cell","structure","0","fna_gloss_final_20130517","61b5dd34-1bd0-4fd7-9603-7558a0e682e6","active"
"accessory fruit","structure","0","fna_gloss_final_20130517","dd7046cb-21f6-4631-b5a6-1aa46e149660","active"
"accrescent","size","0","fna_gloss_final_20130517","33762e02-3252-4ed6-b236-a4202a969299","active"
"accumbent","arrangement","0","fna_gloss_final_20130517","e0ddd0a5-45e5-4658-8913-6814c9893383","active"
"acephalous","architecture","0","fna_gloss_final_20130517","5c3ed604-7ea2-4786-aaa8-bc374d645a56","active"
"acephalous","shape","0","fna_gloss_final_20130517","c7ed554a-daf3-4e2e-a704-e3ecc14d5393","active"
"acerose","shape","0","fna_gloss_final_20130517","b30cb16a-c2f1-4c7f-80dd-c517d99aae5f","active"
"acetabuliform","shape","0","fna_gloss_final_20130517","04b9870e-60ed-422a-b6f9-a046ff7460f0","active"
