#Version: 0.19
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo), Plant_fna_foc (merged from: foc_v9_jing_20130501080458, Plant_fna_jing_v19_v20 (merged from: fna2_v19_jing_20130227141308, fna2_v20_jing_20130228082452), foc_v8_jing_20130430113241, foc_v10_jing_20130409171802, foc_v11_jing_20130502111907, foc_v12_jing_20130502141840, foc_v13_jing_20130503115239, foc_v14_jing_20130506091135, foc_v18_jing_20130711164425, foc_v2021_jing_20130507150953, foc_v22_jing_20130710082723, foc_v23_jing_20130507134321, foc_v24_jing_20130711072108, foc_v25_jing_20130508081633, foc_v4_jing_20130416123440, foc_v5_jing_20130425141012, foc_v6_jing_20130515110950, foc_v7_jing_20130426135157, foc_v8_jing_20130430091947, fna2_v21_jing_20130228140000, fna2_v22_jing_20130301080941, fna2_v23_jing_20130301113018, fna2_v26_jing_20130314134608, fna2_v27_jing_20130314153702, fna2_v2_jing_20130402084106, fna2_v3_jing_20130314110323, fna2_v4_jing_20130225160038, fna2_v5_jing_20130226072402, fna2_v7_jing_20130226143722, fna2_v8_jing_20130227093016)
#Finalized by: Fengqiong Huang, Hong Cui
#Date: 08-10-14
#Reviewers: treatise  ,Gordon Burleigh,Heather Cole,Heather Cole,Hong Cui,Lorena  Endara,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","synonym","termID"
"auricle_like","shape","auriclelike","437a0bf2-1ce7-11e4-990a-0026b9326338"
"slit_like","shape","slitlike","44401df6-1ce7-11e4-990a-0026b9326338"
"candelabra_like","shape","candelabralike","44d13674-1ce7-11e4-990a-0026b9326338"
"capsule_like","shape","capsulelike","42841422-1ce7-11e4-990a-0026b9326338"
"capsule_like","architecture","capsulelike","46b0b000-1ce7-11e4-990a-0026b9326338"
"caudex_like","shape","caudexlike","4530f316-1ce7-11e4-990a-0026b9326338"
"caudex_like","architecture","caudexlike","4635c462-1ce7-11e4-990a-0026b9326338"
"collar_like","shape","collarlike","44d1e5a6-1ce7-11e4-990a-0026b9326338"
"coral_like","shape","corallike","45ada7b2-1ce7-11e4-990a-0026b9326338"
"corymb_like","arrangement","corymblike","c3e740aa-cf68-45a3-8f43-608c73b33108"
"dichasium_like","arrangement","dichasiumlike","a66113b5-d8f6-483c-aa72-9be2e8dc57f7"
"dot_like","shape","dotlike","b69282fa-70a2-4ae5-a1bd-b0796dc734a6"
"drupe_like","architecture","drupelike","4669a4a8-1ce7-11e4-990a-0026b9326338"
"drupe_like","shape","drupelike","453082a0-1ce7-11e4-990a-0026b9326338"
"fiber_like","architecture","fiberlike","43ce0662-1ce7-11e4-990a-0026b9326338"
"fist_like","shape","fistlike","43799e56-1ce7-11e4-990a-0026b9326338"
"leaflike","architecture","leaf_like","49f3e393-2481-4fa2-a6ed-b32cf8c2602d"
