#Version: 0.19
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo), Plant_fna_foc (merged from: foc_v9_jing_20130501080458, Plant_fna_jing_v19_v20 (merged from: fna2_v19_jing_20130227141308, fna2_v20_jing_20130228082452), foc_v8_jing_20130430113241, foc_v10_jing_20130409171802, foc_v11_jing_20130502111907, foc_v12_jing_20130502141840, foc_v13_jing_20130503115239, foc_v14_jing_20130506091135, foc_v18_jing_20130711164425, foc_v2021_jing_20130507150953, foc_v22_jing_20130710082723, foc_v23_jing_20130507134321, foc_v24_jing_20130711072108, foc_v25_jing_20130508081633, foc_v4_jing_20130416123440, foc_v5_jing_20130425141012, foc_v6_jing_20130515110950, foc_v7_jing_20130426135157, foc_v8_jing_20130430091947, fna2_v21_jing_20130228140000, fna2_v22_jing_20130301080941, fna2_v23_jing_20130301113018, fna2_v26_jing_20130314134608, fna2_v27_jing_20130314153702, fna2_v2_jing_20130402084106, fna2_v3_jing_20130314110323, fna2_v4_jing_20130225160038, fna2_v5_jing_20130226072402, fna2_v7_jing_20130226143722, fna2_v8_jing_20130227093016)
#Finalized by: Fengqiong Huang, Hong Cui
#Date: 08-10-14
#Reviewers: Gordon Burleigh,Heather Cole,Hong Cui,Lorena  Endara,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"s_shaped","shape","0","fna_gloss_final_20130517","ee90297a-b491-43ab-968d-fc3cdb96dc13"
"u_form","arrangement","0","fna_gloss_final_20130517","26c080c2-f69b-45e4-8aef-74cc0be76d16"
"v_form","arrangement","0","fna_gloss_final_20130517","58f9c182-54aa-467d-b24d-124b01256b1e"
"adelphous","architecture","0","fna_gloss_final_20130517","a1eb9a68-efdc-11e2-b45f-0026b9326338"
"androus","architecture","0","fna_gloss_final_20130517","a1ebc902-efdc-11e2-b45f-0026b9326338"
"angled","shape","0","fna_gloss_final_20130517,fna2_v27_jing_20130314153702","a2370508-2458-4df4-8c18-72e4b213fab1"
"angular","arrangement","0","fna_gloss_final_20130517","a488a571-8ed1-4ee5-bf16-0df5a10fcd97"
"branched","architecture","0","fna_gloss_final_20130517","553f7be5-e76d-4ba3-898a-3bf1f2415832"
"carpellate","architecture","0","fna_gloss_final_20130517","ca59f9ce-716d-43cb-ade5-1ab4fa25c7ec"
"carpelled","architecture","0","fna_gloss_final_20130517","a1ec633a-efdc-11e2-b45f-0026b9326338"
"celled","architecture","0","fna_gloss_final_20130517","a1ec8e14-efdc-11e2-b45f-0026b9326338"
"cellular","architecture","0","fna_gloss_final_20130517","a1ecbc22-efdc-11e2-b45f-0026b9326338"
"cephalous","architecture","0","fna_gloss_final_20130517","a1ecedaa-efdc-11e2-b45f-0026b9326338"
"ciliate","architecture","0","fna2_v5_jing_20130226072402,foc_v18_jing_20130711164425,foc_v22_jing_20130710082723,fna_gloss_final_20130517","39d21ec7-27dd-4523-8132-811b16ffbc2f"
"cleft","shape","0","fna_gloss_final_20130517,foc_v12_jing_20130502141840","b2726287-2352-497f-87f0-d3761e41b1e8"
"colpate","architecture","0","fna_gloss_final_20130517","fd77aaaf-41cf-4ce9-8c20-ad9f45773e36"
"colporate","architecture","0","fna_gloss_final_20130517","490096e1-d305-4794-aad9-36df226eb085"
"crenate","shape","0","fna_gloss_final_20130517","a52e3ac4-1c76-4273-9d12-f45c894db8ae"
"cyclic","arrangement","0","fna_gloss_final_20130517","2e95cc95-0c52-428c-8aad-ce789b6b1924"
"dentate","shape","0","fna_gloss_final_20130517,foc_v18_jing_20130711164425","894a57fc-d973-4554-8a63-12d1ef56733c"
"digitate","architecture","0","fna_gloss_final_20130517","7e90c0c8-5463-4ae6-b039-d82f64e86f25"
"faced","shape","0","fna_gloss_final_20130517","a1edc360-efdc-11e2-b45f-0026b9326338"
"floral","architecture","0","fna_gloss_final_20130517","8b3b8db2-3ea6-4c80-bf5a-b216f9de3844"
"flowered","architecture","0","fna_gloss_final_20130517","a1ee08de-efdc-11e2-b45f-0026b9326338"
"foliate","architecture","0","fna_gloss_final_20130517","a6336b0a-ff32-4185-a789-059f6cf984c1"
"foliolate","architecture","0","fna_gloss_final_20130517","a1ee5514-efdc-11e2-b45f-0026b9326338"
"fossulate","architecture","0","fna_gloss_final_20130517","3552106a-5b73-4052-9e1e-a7706244be89"
"furrowed","architecture","0","fna_gloss_final_20130517","fa01563a-3f01-46ee-8b69-f6aa77eb8129"
"gonal","shape","0","fna_gloss_final_20130517","a1eeb7ac-efdc-11e2-b45f-0026b9326338"
"gonous","shape","0","fna_gloss_final_20130517","a1eee31c-efdc-11e2-b45f-0026b9326338"
"grooved","architecture","0","fna_gloss_final_20130517","7516bbde-eb96-4dcc-916e-b61c7a14a062"
"gynous","architecture","0","fna_gloss_final_20130517","a1ef2192-efdc-11e2-b45f-0026b9326338"
"headed","architecture","0","fna_gloss_final_20130517","7cd7521b-733b-4319-9e2b-b9dbbf2ced8f"
"leafleted","architecture","0","fna_gloss_final_20130517","a1ef6634-efdc-11e2-b45f-0026b9326338"
"leaved","architecture","0","fna_gloss_final_20130517","a1ef9208-efdc-11e2-b45f-0026b9326338"
"lobate","shape","0","fna_gloss_final_20130517","ccad7b64-c4df-45e4-824e-6e8b22c4a88c"
"lobed","shape","0","foc_v2021_jing_20130507150953,fna_gloss_final_20130517","4a1ee1d9-a9c9-4720-a6b0-b213754fae89"
"locular","architecture","0","fna_gloss_final_20130517,fna2_v22_jing_20130301080941","a1efeb86-efdc-11e2-b45f-0026b9326338"
"loculed","architecture","0","fna_gloss_final_20130517","a1f0184a-efdc-11e2-b45f-0026b9326338"
"merous","architecture","0","fna_gloss_final_20130517","a1f043ba-efdc-11e2-b45f-0026b9326338"
"morphic","architecture","0","fna_gloss_final_20130517","a1f07088-efdc-11e2-b45f-0026b9326338"
"ovulate","architecture","0","fna_gloss_final_20130517","a1f09d9c-efdc-11e2-b45f-0026b9326338"
"ovuled","architecture","0","fna_gloss_final_20130517","a1f0c89e-efdc-11e2-b45f-0026b9326338"
"palmate","architecture","0","fna_gloss_final_20130517","c3cecf04-d3a4-46fb-8d75-04c656dbe15c"
"parted","shape","0","fna_gloss_final_20130517,foc_v6_jing_20130515110950","ea433a01-fb5a-4998-b0bb-aec6a74bd21f"
