#Version: 0.1
#Glossary type: Porifera
#Source: http://purl.obolibrary.org/obo/poro.owl
#Finalized by: Elvis Wu
#Date: 7/07/2014
#Reviewers: Elvis Wu
#Source producer: Extracted from Porifera Ontology

"term","category","hasSyn","sourceDataset","termID"
"fimbria","structure","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000310"
"chemical_entity","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_24431"
"biogenic_silica","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_64389"
"aragonite","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_52239"
"calcite","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_46719"
"biogenic_silica","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_64389"
"biogenic_silica","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_64389"
"protein","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000959"
"silicase","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000961"
"silicatein","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000960"
"bromotyrosin","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/PORO_0000703"
"calcium_carbonate","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_3311"
"aragonite","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_52239"
"calcite","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_46719"
"calcium_carbonate","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_3311"
"aragonite","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_52239"
"calcite","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_46719"
"calcium_carbonate","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_3311"
"aragonite","chemical_entity","0","OBO_PORO","http://purl.obolibrary.org/obo/CHEBI_52239"
